,internal_storage,warp_size,weft_size,type,item_no,warp_a,warp_b,weft_a,weft_b,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_nominal_norm,weft_nominal_norm,warp_nominal_scaled,weft_nominal_scaled,warp_dens_norm,weft_dens_norm,warp_dens_scaled,weft_dens_scaled
120,2008-0031-003-12,160,20,n_band,0,0.3,0.8,0.3,0.6,30.0,12.0,0.55,0.45,0.0830096247899293,0.06093892166026338,1.5092813015854516,-0.2997677557878162,0.08462631830759507,0.07700856286565191,0.9294933316277375,0.7571149656997327
121,2008-0031-003-13,100,20,n_band,2,0.3,0.5,0.5,0.6,20.0,5.0,0.4,0.55,0.06037063621085768,0.07448090425143303,-0.44207781831335946,0.6820802559230024,0.056417545538396716,0.032086901194021626,-0.22092010182170754,-1.9405334030772416
125,2008-0024-003-01,200,210,funeral_shroud,0,0.4,0.6,0.4,0.6,34.0,12.0,0.5,0.5,0.0754632952635721,0.0677099129558482,0.8588282616191807,0.1911562500675928,0.09590982741527442,0.07700856286565191,1.3896587050075155,0.7571149656997327
128,2008-0024-003-03,70,230,funeral_shroud,1,0.4,0.6,0.4,0.6,16.0,7.0,0.5,0.5,0.0754632952635721,0.0677099129558482,0.8588282616191807,0.1911562500675928,0.045134036430717374,0.04492166167163028,-0.6810854752014855,-1.1697767262838206
129,2008-0024-003-03,350,200,funeral_shroud,2,0.4,0.6,0.4,0.6,16.0,7.0,0.5,0.5,0.0754632952635721,0.0677099129558482,0.8588282616191807,0.1911562500675928,0.045134036430717374,0.04492166167163028,-0.6810854752014855,-1.1697767262838206
130,2008-0024-003-04,100,140,patch_fabric,1,0.4,0.6,0.4,0.7,16.0,7.0,0.5,0.55,0.0754632952635721,0.07448090425143303,0.8588282616191807,0.6820802559230024,0.045134036430717374,0.04492166167163028,-0.6810854752014855,-1.1697767262838206
131,2008-0024-003-04,350,55,m_band,2,0.4,0.6,0.4,0.7,16.0,7.0,0.5,0.55,0.0754632952635721,0.07448090425143303,0.8588282616191807,0.6820802559230024,0.045134036430717374,0.04492166167163028,-0.6810854752014855,-1.1697767262838206
132,2008-0032-005,1230,60,funeral_shroud,0,0.2,0.5,0.2,0.3,32.0,12.0,0.35,0.25,0.05282430668450046,0.0338549564779241,-1.0925308582796303,-2.2634637792094527,0.09026807286143475,0.07700856286565191,1.1595760183176265,0.7571149656997327
133,2008-0042-001-01,20,450,n_band,0,0.3,0.6,0.5,0.7,16.0,8.0,0.45,0.6,0.06791696573721488,0.08125189554701784,0.20837522165291064,1.1730042617784109,0.045134036430717374,0.051339041910434605,-0.6810854752014855,-0.7843983878871098
134,2008-0042-001-05,180,250,textile,0,0.3,0.4,0.5,0.6,22.0,13.0,0.35,0.55,0.05282430668450046,0.07448090425143303,-1.0925308582796303,0.6820802559230024,0.06205930009223638,0.08342594310445624,0.00916258486818146,1.1424933040964433
137,2008-0028-010-03,120,38,textile,0,0.3,0.4,0.3,0.4,14.0,9.0,0.35,0.35,0.05282430668450046,0.04739693906909374,-1.0925308582796303,-1.2816157674986348,0.0394922818768777,0.057756422149238935,-0.9111681618913746,-0.3990200494903992
138,2008-0028-010-01,250,35,n_band,0,0.3,0.4,0.2,0.6,22.0,9.0,0.35,0.4,0.05282430668450046,0.05416793036467856,-1.0925308582796303,-0.7906917616432253,0.06205930009223638,0.057756422149238935,0.00916258486818146,-0.3990200494903992
139,2008-0028-010-04,110,65,m_band,0,0.4,0.6,0.3,0.5,20.0,12.0,0.5,0.4,0.0754632952635721,0.05416793036467856,0.8588282616191807,-0.7906917616432253,0.056417545538396716,0.07700856286565191,-0.22092010182170754,0.7571149656997327
140,2008-0028-005-01,860,30,n_band,0,0.2,0.4,0.4,0.6,30.0,10.0,0.3,0.5,0.04527797715814325,0.0677099129558482,-1.7429838982459003,0.1911562500675928,0.08462631830759507,0.06417380238804325,0.9294933316277375,-0.01364171109368855
141,2008-0028-005-02,1100,25,n_band,0,0.2,0.4,0.4,0.6,32.0,10.0,0.3,0.5,0.04527797715814325,0.0677099129558482,-1.7429838982459003,0.1911562500675928,0.09026807286143475,0.06417380238804325,1.1595760183176265,-0.01364171109368855
142,2008-0028-005-03,100,100,f_overlay,0,0.2,0.5,0.2,0.5,26.0,9.0,0.35,0.35,0.05282430668450046,0.04739693906909374,-1.0925308582796303,-1.2816157674986348,0.07334280919991573,0.057756422149238935,0.4693279582479595,-0.3990200494903992
143,2008-0028-005-04,20,200,m_band,1,0.2,0.4,0.4,0.6,30.0,8.0,0.3,0.5,0.04527797715814325,0.0677099129558482,-1.7429838982459003,0.1911562500675928,0.08462631830759507,0.051339041910434605,0.9294933316277375,-0.7843983878871098
144,2008-0028-005-04,200,80,m_band,2,0.2,0.4,0.4,0.6,30.0,8.0,0.3,0.5,0.04527797715814325,0.0677099129558482,-1.7429838982459003,0.1911562500675928,0.08462631830759507,0.051339041910434605,0.9294933316277375,-0.7843983878871098
145,2008-0028-005-05,50,20,n_band,1,0.3,0.6,0.5,0.8,28.0,8.0,0.45,0.65,0.06791696573721488,0.08802288684260266,0.20837522165291064,1.6639282676338205,0.0789845637537554,0.051339041910434605,0.6994106449378484,-0.7843983878871098
146,2008-0028-005-05,80,20,n_band,2,0.3,0.6,0.5,0.8,28.0,8.0,0.45,0.65,0.06791696573721488,0.08802288684260266,0.20837522165291064,1.6639282676338205,0.0789845637537554,0.051339041910434605,0.6994106449378484,-0.7843983878871098
147,2008-0028-005-05,40,20,n_band,3,0.3,0.6,0.5,0.8,28.0,8.0,0.45,0.65,0.06791696573721488,0.08802288684260266,0.20837522165291064,1.6639282676338205,0.0789845637537554,0.051339041910434605,0.6994106449378484,-0.7843983878871098
148,2008-0028-005-05,20,20,n_band,4,0.3,0.6,0.5,0.8,28.0,8.0,0.45,0.65,0.06791696573721488,0.08802288684260266,0.20837522165291064,1.6639282676338205,0.0789845637537554,0.051339041910434605,0.6994106449378484,-0.7843983878871098
