,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,threads_labels
152,131.0,182,0.0,,2008-0028-005-08,,130,100,w_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.4,0.35,24.0,10.0,0.4,0.35,1
161,134.0,182,0.0,1.0,2008-0028-005-11,,940,20,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,30.0,12.0,0.3,0.5,1
163,136.0,182,0.0,1.0,2008-0028-005-13,,300,100,w_band,1,composite,fragment,,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,30.0,10.0,0.3,0.5,1
164,136.0,182,0.0,,2008-0028-005-13,,400,20,n_band,2,composite,fragment,,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,30.0,10.0,0.3,0.5,1
165,137.0,182,0.0,1.0,2008-0028-005-14,,100,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,42.0,15.0,0.25,0.35,1
167,,185,0.0,1.0,2008-0037-009-01,,180,300,funeral_shroud,0,mono,fragment,basket,linen,linen,no,no,,,medium,medium,,,,0.2,0.5,0.35,0.2,0.5,0.35,9.0,7.0,0.35,0.35,1
172,142.0,189,0.0,0.0,2008-0060-001-01,,160,90,funeral_shroud,1,composite,fragment,,linen,linen,no,no,S,S,uneven,medium,,,,0.3,0.4,0.35,0.4,0.5,0.45,18.0,10.0,0.35,0.45,1
173,142.0,189,0.0,,2008-0060-001-01,,120,80,funeral_shroud,2,composite,fragment,,linen,linen,no,no,S,S,uneven,medium,,,,0.3,0.4,0.35,0.4,0.5,0.45,18.0,10.0,0.35,0.45,1
174,142.0,189,0.0,,2008-0060-001-01,,110,100,funeral_shroud,3,composite,fragment,,linen,linen,no,no,S,S,uneven,medium,,,,0.3,0.4,0.35,0.4,0.5,0.45,18.0,10.0,0.35,0.45,1
187,146.0,191,0.0,1.0,2008-0040-004,,220,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.2,0.4,0.3,32.0,12.0,0.4,0.3,1
193,151.0,196-197,0.0,1.0,2008-0049-001-01,,40,190,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.4,0.5,0.45,16.0,9.0,0.35,0.45,1
196,154.0,196,3.0,0.0,2008-0070-003-02,,90,90,filling,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,30.0,12.0,0.35,0.35,1
197,155.0,196,3.0,0.0,2008-0070-003-03,,110,20,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,26.0,12.0,0.25,0.35,1
198,156.0,196,3.0,0.0,2008-0070-003-04,,200,100,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,40.0,20.0,0.25,0.35,1
201,,196,3.0,0.0,2008-0070-003-07,,200,70,m_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,0.4,0.2,0.6,0.4,14.0,7.0,0.4,0.4,1
203,159.0,196,3.0,0.0,2008-0070-003-09,,240,150,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.5,0.4,22.0,8.0,0.4,0.4,1
205,161.0,196,3.0,0.0,2008-0070-003-11,,300,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.4,0.35,24.0,12.0,0.4,0.35,1
206,162.0,196,3.0,0.0,2008-0070-003-12,,220,150,textile,1,composite,fragment,basket_weave,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,0.35,0.2,0.5,0.35,24.0,10.0,0.35,0.35,1
210,163.0,196,3.0,0.0,2008-0070-003-14,,85,30,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,48.0,10.0,0.25,0.35,1
211,164.0,196,3.0,0.0,2008-0070-003-15,,200,40,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.2,0.5,0.35,0.4,0.6,0.5,32.0,8.0,0.35,0.5,1
212,165.0,196,3.0,0.0,2008-0070-003-16,,230,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,52.0,12.0,0.25,0.35,1
213,166.0,196,3.0,0.0,2008-0070-003-17,,120,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,0.35,0.4,0.7,0.55,24.0,9.0,0.35,0.55,1
218,,196,3.0,0.0,2008-0070-003-22,,130,70,m_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.5,0.4,12.0,10.0,0.4,0.4,1
