order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens
91,163,0,1,2008-008-03,,210,25,n_band,4,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,2","0,2","0,2",44,13
91,163,0,1,2008-008-03,,180,25,n_band,5,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,2","0,2","0,2",44,13
92,163,0,1,2008-008-04,,300,820,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,6","0,5",16,10
93,163,0,1,2008-008-06,,2100,26,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,5","0,45","0,3","0,4","0,35",28,10
94,163,0,1,2008-008-07,,100,100,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,3","0,4","0,35",20,10
95,163,0,1,2008-008-08,,170,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,4","0,35","0,3","0,3","0,3",34,14
96,169,0,1,2008-0011-001-01,,50,10,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,2","0,3","0,25",28,5
97,172,0,1,2008-0013-002-04,,230,120,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,3","0,6","0,45",19,12
98,173,0,1,2008-0031-003-01,,270,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,6","0,8","0,7","0,6","0,8","0,7",12,10
99,173,0,1,2008-0031-003-02,,420,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,3","0,5","0,4",28,14
100,173,0,1,2008-0031-003-03,,360,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,6","0,8","0,7","0,6","0,8","0,7",12,10
101,173,0,1,2008-0031-003-04,,260,160,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,3","0,5","0,4",26,15
102,173,0,1,2008-0031-003-05,,110,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,3","0,5","0,4",26,15
103,173,0,1,2008-0031-003-06,,100,15,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,3","0,5","0,4",26,18
104,173,0,1,2008-0031-003-07,,360,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,7","0,5","0,4","0,5","0,45",36,10
105,173,0,1,2008-0031-003-08,,190,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,7","0,5","0,4","0,5","0,45",36,10
106,173,0,1,2008-0031-003-09,,80,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,6","1,2","0,9",1,"1,4","1,2",20,8
107,173,0,1,2008-0031-003-10,,70,55,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,5","0,8","0,65","1,5","2,5",2,12,5
108,173,0,1,2008-0031-003-11,,50,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,6","0,5",27,16
109,173,0,1,2008-0031-003-12,,160,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,8","0,55","0,3","0,6","0,45",30,12
110,173,0,1,2008-0031-003-13,,100,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,5","0,6","0,55",20,5
111,173,0,1,2008-0031-003-14,,100,60,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,6","0,8","0,7","0,4","0,6","0,5",14,4
112,173,0,1,2008-0031-003-15,,150,110,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,6","0,8","0,7","0,4","0,6","0,5",14,4
113,173,0,1,2008-0031-003-16,,40,15,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,3","0,5","0,4",26,18
114,175,0,1,2008-0024-003-01,,200,210,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,6","0,5",34,12
115,175,0,1,2008-0024-003-02,,75,75,textile,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,8","0,65","0,5","0,8","0,65",16,10
115,175,0,1,2008-0024-003-02,,90,20,textile,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,8","0,65","0,5","0,8","0,65",16,10
116,175,0,1,2008-0024-003-03,,70,230,pelena,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,6","0,5",16,7
116,175,0,1,2008-0024-003-03,,350,200,pelena,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,6","0,5",16,7
117,175,0,1,2008-0024-003-04,,100,140,nakladka,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,7","0,55",16,7
117,175,0,1,2008-0024-003-04,,350,55,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,7","0,55",16,7
118,176,0,0,2008-0032-005,,1230,60,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,"0,2","0,5","0,35","0,2","0,3","0,25",32,12
119,179,0,0,2008-0042-001-01,,20,450,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,3","0,6","0,45","0,5","0,7","0,6",16,8
120,179,0,0,2008-0042-001-05,,180,250,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,3","0,4","0,35","0,5","0,6","0,55",22,13
121,179,0,0,2008-0042-001-06,,200,300,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,5","0,8","0,65","0,4","0,6","0,5",13,8
,181-183,,,2008-0028-010-02,,200,30,n_band,0,mono,fragment,basket,linen,linen,,,S,S,uneven,uneven,,,,"0,2","0,3",,"0,2","0,3",,10,8
,181-183,,,2008-0028-010-03,,120,38,textile,0,mono,fragment,basket,linen,linen,,,S,S,uneven,uneven,,,,"0,3","0,4",,"0,3","0,4",,14,9
122,181-183,0,1,2008-0028-010-01,,250,35,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,uneven,,,,"0,3","0,4","0,35","0,2","0,6","0,4",22,9
123,181-183,0,1,2008-0028-010-04,,110,65,m_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,loose,,,,"0,4","0,6","0,5","0,3","0,5","0,4",20,12
124,182,0,1,2008-0028-005-01,,860,30,n_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,4","0,3","0,4","0,6","0,5",30,10
125,182,0,1,2008-0028-005-02,,1100,25,n_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,4","0,3","0,4","0,6","0,5",32,10
126,182,0,1,2008-0028-005-03,,100,100,f_overlay,0,mono,fragment,,linen,linen,no,no,S,S,loose,loose,,,,"0,2","0,5","0,35","0,2","0,5",,26,9
